Address,Balance
0x6fA040aD7e94f905a29536Ba786D433638FeD19b,665783241468986685749073
0x7716937Cd649850a8e28c8a182C80ca7b7C95BA1,619561175229649293045089
0xB96D127160780c6b2F9e45B9aA9B298842d84284,615965855567832763813473
0x37d6bF7e8875137EefA8286e6AEA2cc4bFAF1247,490076200500032490870816
0x9b18600f8dd50AcA548e7c335bf918b37426511a,352389609561237824959170
0x878774aFd04643018935Ad1DFe9e98030243F96F,259618574867995695012257
0x9FfF7A309Ff09d41F04f8B0ED76483Ee6C4AdDB3,235605701344106958416973
0x5fECA3c3188567f32d69701F876FC1dbeA4113Cb,209608206559215948696656
0x6a528a18b46aA166C7801bE234DF943dE7bC6b19,188528038827654222031702
0xb92e6C3cdc6EB2e1C09E69c5530C6a0048895e6b,128980615973653567740102
0xb16398c0698149Ae6EC342614830bC0511b83CAf,96089453234532018829911
0x0AFCa7caa2F7378ea146E3393fB1c2D2DB8c495e,65349550000000000000000
0x846a629184D5829349f53B8b928c1B6117d0A101,44838015842755086309449
0x225b17e41b56C26bC1bA18Bc00F44c6D7622d634,41415822064343253697793
0x49AD1837A7Acb2b5367d5Cf8c8BDeEa2d6c3F4a8,33086561839105394274270
0x027a959025CCbA54c3982304F238Ec5689bB1Bb4,22654949802280822543129
0xaeE13A8db3e216A364255EFEbA171ce329100876,22133609875887254415974
0x5680BC44c01F013a6C643a9eB22D973932a5C5e5,13065316956277825399139
0xAaa1FAfc7FF9e2BA3A5526aC858cc09ff52383C2,12397498698640083371925
0x7e2b5fb5198c7dDe774c563D896e6acE3203312C,9303431350180245186310
0xc90C586677D02bFBeE8e70A91A66689212f88e82,8869359359207920277492
0x5b93fFfdFA341c0Fd072062119FcC07995817A11,2442066467494900342977
0x2bbd540F02c2f0C3Ca910eaD847e7b52286A5E5E,525339411482775694107
0x275261733684C98078f8B8046142e51165C91911,440172251561330960535
0x992aAAA17DAC521A2e5309279c8ee66070FA93De,81134770190442292310
0xCBC8E5113f1FfC43C6982f8f6218E02E2595c6dc,43316134375957308125
0xa985ECe5F6468C2857fAa62a23E9551d342f8813,950000000000000000
0x1b52Be6243F5d009E736b45eebE48284d1fACe9c,0
0x46E3C3450Ec4e5b2344Dfde0CB86736486147757,0
0x5Edff62A6eF95E47c0b1C9560deB7dcF6bEc0ac0,0
0x44cb0C8Bb141b5E97cD0a3f9e29529b0FC266004,0
0xf7237C595425b49Eaeb3Dc930644de6DCa09c3C4,0
0xB72aDaffEb3419487C49690Dc68e963F7d7D81AC,0
0xc522a6F276999fA0A8574C837d91CF2435f256BC,0
0x787A612ef6B381142AB8065b68d7C3AA6ee8bbd7,0
0x3F9E113C1B347A5035Cc32876B4BC479afC5Bb6D,0
